ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
6193,Kolkata Knight Riders,Eoin Morgan ,c Gurkeerat Singh b Washington Sundar,,1,,,,,,30,34,3,1,88.23,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6194,Kolkata Knight Riders,Pat Cummins,c Padikkal b Chahal,,1,,,,,,4,17,0,0,23.52,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6195,Kolkata Knight Riders,Kuldeep Yadav,run out (Gurkeerat Singh/Morris),,,,,1,,,12,19,1,0,63.15,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6196,Kolkata Knight Riders,Lockie Ferguson,not out,,,,,,,1,19,16,1,0,118.75,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-royal-challengers-bangalore-39th-match-1216494/full-scorecard
6197,Rajasthan Royals,Robin Uthappa,run out (Holder),,,,,1,,,19,13,2,1,146.15,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6198,Rajasthan Royals,Ben Stokes,b Rashid Khan,,,1,,,,,30,32,2,0,93.75,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6199,Rajasthan Royals,Sanju Samson,b Holder,,,1,,,,,36,26,3,1,138.46,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6200,Rajasthan Royals,Jos Buttler,c Nadeem b Shankar,,1,,,,,,9,12,0,0,75,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6201,Rajasthan Royals,Steven Smith,c Pandey b Holder,,1,,,,,,19,15,2,0,126.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6202,Rajasthan Royals,Riyan Parag,c Warner b Holder,,1,,,,,,20,12,2,1,166.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
